transaction_id,account_id,customer_id,card_network,card_type,product,txn_ts,amount_inr,currency,merchant_name,merchant_category,merchant_city,merchant_country,channel,auth_type,status,decline_reason,is_international,fx_rate,amount_base_inr,risk_score,fraud_label,device_id,ip_country
txn_00001_8fadc1a6,ACC4257,CUST95181,VISA,CREDIT,Branded Cards,2025-07-09T18:41:41.844789+05:30,75,INR,SpiceTrail,Dining,Pune,IN,POS,chip_pin,APPROVED,,0,,75,6,0,,IN
txn_00002_6142ea7d,ACC2584,CUST57052,RUPAY,CREDIT,Branded Cards,2025-10-08T16:33:16.844789+05:30,75,INR,PlayArena,Entertainment,Hyderabad,IN,ECOM,online,DECLINED,SUSPECTED_FRAUD,0,,75,22,0,dev_1a562b0f79,IN
txn_00003_3a578a8e,ACC5741,CUST20458,AMEX,CREDIT,Branded Cards,2025-11-07T10:51:29.844789+05:30,179.25,INR,PlayArena,Entertainment,Mumbai,IN,ATM,atm_pin,APPROVED,,0,,179.25,28,0,,IN
txn_00004_ece66fa2,ACC4598,CUST99733,RUPAY,DEBIT,Branded Cards,2025-10-14T12:29:56.844789+05:30,84.4,INR,PlayArena,Entertainment,Chennai,IN,POS,contactless,APPROVED,,0,,84.4,51,0,,IN
txn_00005_95a76d79,ACC8019,CUST86484,MASTERCARD,CREDIT,Branded Cards,2025-09-25T01:21:20.844789+05:30,255.24,INR,AquaFlow,Utilities,Hyderabad,IN,POS,contactless,APPROVED,,0,,255.24,13,0,,IN
txn_00006_ff01cf99,ACC8668,CUST79352,MASTERCARD,CREDIT,Branded Cards,2025-11-01T18:23:35.844789+05:30,75,INR,LocalStore,Other,Mumbai,IN,ECOM,online,APPROVED,,0,,75,55,0,dev_6162801c45,IN
txn_00007_4c66e0a8,ACC9317,CUST89818,VISA,CREDIT,Branded Cards,2025-11-16T08:58:15.844789+05:30,127.45,AED,LocalStore,Other,Chennai,AE,POS,contactless,APPROVED,,1,25.83,3292.2,29,0,,IN
txn_00008_bb5e4bcf,ACC8962,CUST19071,AMEX,CREDIT,Branded Cards,2025-08-22T09:57:24.844789+05:30,120.66,INR,CityServices,Other,Bangalore,IN,POS,contactless,DECLINED,INVALID_PIN,0,,120.66,8,0,,IN
txn_00009_702753a1,ACC9479,CUST69177,MASTERCARD,DEBIT,Branded Cards,2025-12-06T05:30:34.844789+05:30,171.95,INR,QuickServices,Other,Hyderabad,IN,POS,contactless,APPROVED,,0,,171.95,50,0,,IN
txn_00010_93829b43,ACC8744,CUST41850,MASTERCARD,CREDIT,Branded Cards,2025-09-05T23:42:53.844789+05:30,75,INR,PowerGrid,Utilities,Pune,IN,POS,chip_pin,DECLINED,INSUFFICIENT_FUNDS,0,,75,18,0,,IN
txn_00011_6c006f61,ACC4006,CUST46509,MASTERCARD,CREDIT,Branded Cards,2025-09-09T05:26:25.844789+05:30,75,INR,FuelPoint,Fuel,Kolkata,IN,POS,contactless,APPROVED,,0,,75,11,0,,IN
txn_00012_e7067ef4,ACC1960,CUST31579,VISA,DEBIT,Branded Cards,2025-09-30T14:27:25.844789+05:30,113.35,USD,QuickServices,Other,Bangalore,US,ECOM,online,APPROVED,,1,90.67,10277.97,60,0,dev_dd36b82481,IN
txn_00013_944528c0,ACC9883,CUST17989,RUPAY,DEBIT,Branded Cards,2025-10-17T12:27:15.844789+05:30,101.96,INR,FunZone,Entertainment,Kolkata,IN,ECOM,online,APPROVED,,0,,101.96,20,0,dev_f737bb3eec,IN
txn_00014_6b5252e3,ACC9565,CUST51467,VISA,DEBIT,Branded Cards,2025-10-31T07:05:55.844789+05:30,75,INR,CityServices,Other,Delhi,IN,POS,chip_pin,APPROVED,,0,,75,41,0,,IN
txn_00015_12c136e0,ACC9808,CUST37938,AMEX,CREDIT,Branded Cards,2025-08-29T04:52:47.844789+05:30,97.47,INR,Cafe Mosaic,Dining,Delhi,IN,ECOM,online,APPROVED,,0,,97.47,23,0,dev_90ff9ab5c2,IN
txn_00016_27cb6f2a,ACC5462,CUST46930,MASTERCARD,DEBIT,Branded Cards,2025-08-04T06:52:00.844789+05:30,148.48,INR,SpeedFuel,Fuel,Chennai,IN,POS,contactless,APPROVED,,0,,148.48,13,0,,IN
txn_00017_8f9797b0,ACC1158,CUST24663,AMEX,CREDIT,Branded Cards,2025-12-17T09:06:31.844789+05:30,159.02,INR,TasteHub,Dining,Ahmedabad,IN,POS,chip_pin,APPROVED,,0,,159.02,21,0,,IN
txn_00018_6808593f,ACC3532,CUST41029,VISA,DEBIT,Branded Cards,2025-11-25T08:05:21.844789+05:30,75,INR,QuickServices,Other,Kolkata,IN,POS,contactless,APPROVED,,0,,75,47,0,,IN
txn_00019_dbccc477,ACC8711,CUST39154,RUPAY,CREDIT,Branded Cards,2025-11-14T21:46:35.844789+05:30,243.82,INR,RailEase,Travel,Chennai,IN,ECOM,online,APPROVED,,0,,243.82,19,0,dev_df61ee411a,IN
txn_00020_1d870966,ACC5279,CUST33405,AMEX,DEBIT,Branded Cards,2025-08-10T04:52:12.844789+05:30,199.48,INR,ShopSphere,Ecomm,Bangalore,IN,ECOM,online,APPROVED,,0,,199.48,18,0,dev_f054c63cd8,IN
txn_00021_f0b5156b,ACC4228,CUST57739,VISA,CREDIT,Branded Cards,2025-09-17T11:59:16.844789+05:30,75,INR,HealthFirst,Pharmacy,Chennai,IN,POS,chip_pin,APPROVED,,0,,75,5,0,,IN
txn_00022_4d0b0d1a,ACC7653,CUST81819,AMEX,DEBIT,Branded Cards,2026-01-05T03:28:18.844789+05:30,99.96,INR,FuelPoint,Fuel,Hyderabad,IN,POS,contactless,APPROVED,,0,,99.96,29,0,,IN
txn_00023_d1843324,ACC4848,CUST98184,AMEX,CREDIT,Branded Cards,2025-10-18T06:21:23.844789+05:30,150.2,INR,WellnessRx,Pharmacy,Chennai,IN,POS,contactless,APPROVED,,0,,150.2,23,0,,IN
txn_00024_3e75c3b4,ACC3417,CUST95990,MASTERCARD,CREDIT,Branded Cards,2025-07-13T14:20:01.844789+05:30,75,INR,FreshBasket,Grocery,Pune,IN,ATM,atm_pin,APPROVED,,0,,75,41,0,,IN
txn_00025_9cd6c852,ACC9270,CUST65933,VISA,DEBIT,Branded Cards,2025-08-17T22:18:01.844789+05:30,121.19,INR,ShopSphere,Ecomm,Ahmedabad,IN,POS,chip_pin,APPROVED,,0,,121.19,40,0,,IN
txn_00026_458f1f19,ACC6502,CUST51904,MASTERCARD,DEBIT,Branded Cards,2025-08-20T11:36:06.844789+05:30,75,INR,FunZone,Entertainment,Pune,IN,ECOM,online,APPROVED,,0,,75,32,0,dev_49b6aae05b,IN
txn_00027_05000bc6,ACC7232,CUST72518,MASTERCARD,CREDIT,Branded Cards,2026-01-04T01:43:42.844789+05:30,289.81,INR,UrbanCart,Ecomm,Delhi,IN,ECOM,online,DECLINED,NETWORK_ERROR,0,,289.81,61,0,dev_95c51155ff,IN
txn_00028_fb10987f,ACC9751,CUST13534,AMEX,DEBIT,Branded Cards,2025-09-26T16:59:07.844789+05:30,224.22,AED,WellnessRx,Pharmacy,Pune,AE,POS,contactless,APPROVED,,1,24.01,5384.25,52,0,,IN
txn_00029_d5bcb8d0,ACC2341,CUST71644,VISA,CREDIT,Branded Cards,2025-12-31T18:53:45.844789+05:30,75,INR,MediPlus,Pharmacy,Ahmedabad,IN,POS,contactless,APPROVED,,0,,75,29,0,,IN
txn_00030_5e6fea07,ACC3749,CUST89415,VISA,DEBIT,Branded Cards,2025-08-03T10:21:55.844789+05:30,78.47,INR,ClickBazaar,Ecomm,Mumbai,IN,ECOM,online,APPROVED,,0,,78.47,66,0,dev_41b31022f0,IN
txn_00031_99b49350,ACC2983,CUST84177,MASTERCARD,DEBIT,Branded Cards,2025-12-26T01:53:39.844789+05:30,75,INR,FuelPoint,Fuel,Bangalore,IN,ATM,atm_pin,APPROVED,,0,,75,20,0,,IN
txn_00032_eb6c1016,ACC9817,CUST73372,RUPAY,DEBIT,Branded Cards,2025-09-07T22:40:36.844789+05:30,258.7,INR,FuelPoint,Fuel,Chennai,IN,POS,contactless,APPROVED,,0,,258.7,51,0,,IN
txn_00033_5ad5cf06,ACC5232,CUST54608,AMEX,DEBIT,Branded Cards,2025-10-25T16:49:48.844789+05:30,183.33,INR,ShopSphere,Ecomm,Hyderabad,IN,ECOM,online,APPROVED,,0,,183.33,30,0,dev_7c2e8d0e87,IN
txn_00034_6786d506,ACC4986,CUST50135,AMEX,CREDIT,Branded Cards,2025-07-19T17:21:42.844789+05:30,128.26,INR,QuickServices,Other,Mumbai,IN,POS,contactless,APPROVED,,0,,128.26,36,0,,IN
txn_00035_c31edbbc,ACC4033,CUST35105,AMEX,DEBIT,Branded Cards,2025-11-10T20:54:23.844789+05:30,75,INR,CityServices,Other,Chennai,IN,POS,contactless,APPROVED,,0,,75,51,0,,IN
txn_00036_7daa39f0,ACC2680,CUST11607,AMEX,DEBIT,Branded Cards,2025-08-12T04:10:59.844789+05:30,75,INR,SpeedFuel,Fuel,Hyderabad,IN,POS,chip_pin,APPROVED,,0,,75,45,0,,IN
txn_00037_4dc82a1e,ACC2395,CUST42530,RUPAY,DEBIT,Branded Cards,2025-12-05T18:13:00.844789+05:30,75,INR,FunZone,Entertainment,Delhi,IN,ATM,atm_pin,APPROVED,,0,,75,48,0,,IN
txn_00038_a021c0ca,ACC4457,CUST44687,RUPAY,CREDIT,Branded Cards,2025-07-20T11:34:46.844789+05:30,75,INR,LocalStore,Other,Ahmedabad,IN,ECOM,online,APPROVED,,0,,75,50,0,dev_c3f295456e,US
txn_00039_1238d630,ACC4824,CUST44675,MASTERCARD,CREDIT,Branded Cards,2025-07-28T17:03:43.844789+05:30,209.94,INR,RailEase,Travel,Mumbai,IN,POS,contactless,APPROVED,,0,,209.94,49,0,,IN
txn_00040_4dd8eb85,ACC7594,CUST45683,MASTERCARD,DEBIT,Branded Cards,2025-08-29T18:52:31.844789+05:30,75,INR,FuelPoint,Fuel,Pune,IN,ECOM,online,APPROVED,,0,,75,61,0,dev_771fd5a423,IN
txn_00041_c19ad58c,ACC3870,CUST71669,RUPAY,DEBIT,Branded Cards,2025-08-25T14:48:53.844789+05:30,323.01,INR,FuelPoint,Fuel,Bangalore,IN,ECOM,online,APPROVED,,0,,323.01,98,1,dev_0a9384ec2b,AE
txn_00042_7ed70ed7,ACC5722,CUST96846,RUPAY,DEBIT,Branded Cards,2025-09-24T18:30:25.844789+05:30,214.2,INR,RailEase,Travel,Kolkata,IN,ECOM,online,APPROVED,,0,,214.2,61,0,dev_69546e035a,IN
txn_00043_341c6494,ACC5375,CUST81987,VISA,DEBIT,Branded Cards,2025-12-03T04:02:55.844789+05:30,82.23,INR,MetroPetro,Fuel,Hyderabad,IN,POS,contactless,APPROVED,,0,,82.23,44,0,,IN
txn_00044_b495db4e,ACC5479,CUST64459,RUPAY,DEBIT,Branded Cards,2025-09-03T21:20:33.844789+05:30,97.41,GBP,SpeedFuel,Fuel,Pune,GB,ECOM,online,APPROVED,,1,96.58,9408.3,85,1,dev_4ab77350ca,SG
txn_00045_4c6e27ff,ACC9022,CUST29476,MASTERCARD,DEBIT,Branded Cards,2025-09-12T18:55:35.844789+05:30,122.76,INR,QuickServices,Other,Kolkata,IN,POS,chip_pin,APPROVED,,0,,122.76,55,0,,IN
txn_00046_cfb87e6f,ACC7246,CUST60604,RUPAY,DEBIT,Branded Cards,2025-07-19T14:47:46.844789+05:30,88.47,INR,NetConnect,Utilities,Kolkata,IN,POS,contactless,APPROVED,,0,,88.47,31,0,,IN
txn_00047_f84f16b3,ACC3529,CUST19807,MASTERCARD,DEBIT,Branded Cards,2025-09-07T04:53:10.844789+05:30,77.42,INR,FreshBasket,Grocery,Chennai,IN,ECOM,online,APPROVED,,0,,77.42,58,0,dev_de68f45bce,IN
txn_00048_bf2c14a0,ACC2480,CUST66881,AMEX,DEBIT,Branded Cards,2025-12-10T15:27:41.844789+05:30,88.39,INR,MetroPetro,Fuel,Kolkata,IN,ATM,atm_pin,APPROVED,,0,,88.39,20,0,,IN
txn_00049_2cd1586a,ACC2293,CUST89887,VISA,DEBIT,Branded Cards,2025-09-29T15:58:21.844789+05:30,210.94,INR,RailEase,Travel,Hyderabad,IN,ECOM,online,DECLINED,INSUFFICIENT_FUNDS,0,,210.94,27,0,dev_2ecae28e66,IN
txn_00050_fcd6bdca,ACC5901,CUST93746,MASTERCARD,DEBIT,Branded Cards,2025-09-19T05:25:47.844789+05:30,431.88,INR,SkyRoute,Travel,Ahmedabad,IN,ECOM,online,APPROVED,,0,,431.88,39,0,dev_7112e89d10,IN
txn_00051_e91e314e,ACC9138,CUST47512,RUPAY,DEBIT,Branded Cards,2025-11-07T16:25:58.844789+05:30,160.37,INR,UrbanCart,Ecomm,Ahmedabad,IN,POS,contactless,APPROVED,,0,,160.37,52,0,,IN
txn_00052_088a93ec,ACC6977,CUST27224,AMEX,CREDIT,Branded Cards,2025-12-13T03:47:27.844789+05:30,800.88,INR,ClickBazaar,Ecomm,Hyderabad,IN,ECOM,online,APPROVED,,0,,800.88,45,0,dev_c94f1639a0,IN
txn_00053_bf1e8366,ACC6549,CUST25095,AMEX,DEBIT,Branded Cards,2025-09-08T11:47:38.844789+05:30,178.17,INR,SkyRoute,Travel,Delhi,IN,ECOM,online,APPROVED,,0,,178.17,35,0,dev_7bf1b64afe,IN
txn_00054_1bbc91f7,ACC4830,CUST71797,MASTERCARD,CREDIT,Branded Cards,2025-12-29T15:58:42.844789+05:30,75,INR,WellnessRx,Pharmacy,Chennai,IN,POS,contactless,DECLINED,LIMIT_EXCEEDED,0,,75,21,0,,IN
txn_00055_5efa9c5b,ACC9850,CUST64935,AMEX,CREDIT,Branded Cards,2025-08-08T08:54:34.844789+05:30,75,INR,FuelPoint,Fuel,Ahmedabad,IN,ECOM,online,APPROVED,,0,,75,46,0,dev_6322bae10e,IN
txn_00056_196f4dfa,ACC7018,CUST81364,RUPAY,CREDIT,Branded Cards,2025-07-24T01:28:35.844789+05:30,75,INR,PlayArena,Entertainment,Kolkata,IN,ATM,atm_pin,APPROVED,,0,,75,20,0,,IN
txn_00057_c9776598,ACC4362,CUST18992,VISA,DEBIT,Branded Cards,2025-08-17T06:59:35.844789+05:30,75,INR,SpiceTrail,Dining,Mumbai,IN,ATM,atm_pin,APPROVED,,0,,75,6,0,,IN
txn_00058_52e2afd9,ACC1258,CUST32838,MASTERCARD,CREDIT,Branded Cards,2025-10-30T12:37:39.844789+05:30,194.27,INR,PowerGrid,Utilities,Bangalore,IN,POS,chip_pin,APPROVED,,0,,194.27,13,0,,IN
txn_00059_4d37a539,ACC8504,CUST94323,MASTERCARD,DEBIT,Branded Cards,2025-12-29T12:19:15.844789+05:30,79.23,INR,QuickServices,Other,Mumbai,IN,POS,contactless,APPROVED,,0,,79.23,7,0,,IN
txn_00060_fe9fecaa,ACC9692,CUST48652,RUPAY,DEBIT,Branded Cards,2025-09-10T20:07:44.844789+05:30,75,INR,WellnessRx,Pharmacy,Mumbai,IN,POS,contactless,DECLINED,INSUFFICIENT_FUNDS,0,,75,44,0,,IN
txn_00061_ec48bf55,ACC8770,CUST18799,RUPAY,CREDIT,Branded Cards,2025-12-13T11:25:39.844789+05:30,75,INR,FuelPoint,Fuel,Pune,IN,POS,chip_pin,APPROVED,,0,,75,25,0,,IN
txn_00062_6c4596f6,ACC1842,CUST47700,VISA,DEBIT,Branded Cards,2025-08-05T03:09:34.844789+05:30,75,INR,FuelPoint,Fuel,Chennai,IN,ECOM,online,APPROVED,,0,,75,65,0,dev_f0aa53c19c,IN
