transaction_id,account_id,customer_id,card_network,card_type,product,txn_ts,amount_inr,currency,merchant_name,merchant_category,merchant_city,merchant_country,channel,auth_type,status,decline_reason,is_international,fx_rate,amount_base_inr,risk_score,fraud_label,device_id,ip_country,latitude,longitude
txn_00001_8fadc1a6,ACC4257,CUST95181,VISA,CREDIT,Branded Cards,2025-07-09T18:41:25.438179+05:30,75.00,INR,SpiceTrail,Dining,Pune,IN,POS,chip_pin,APPROVED,,0,,75.00,6,0,,IN,18.493666,73.866902
txn_00002_6142ea7d,ACC2584,CUST57052,RUPAY,CREDIT,Branded Cards,2025-10-08T16:33:00.438179+05:30,75.00,INR,PlayArena,Entertainment,Hyderabad,IN,ECOM,online,DECLINED,SUSPECTED_FRAUD,0,,75.00,22,0,dev_1a562b0f79,IN,,
txn_00003_3a578a8e,ACC5741,CUST20458,AMEX,CREDIT,Branded Cards,2025-11-07T10:51:13.438179+05:30,179.25,INR,PlayArena,Entertainment,Mumbai,IN,ATM,atm_pin,APPROVED,,0,,179.25,28,0,,IN,19.096457,72.832282
txn_00004_ece66fa2,ACC4598,CUST99733,RUPAY,DEBIT,Branded Cards,2025-10-14T12:29:40.438179+05:30,84.40,INR,PlayArena,Entertainment,Chennai,IN,POS,contactless,APPROVED,,0,,84.40,51,0,,IN,13.078926,80.247695
txn_00005_95a76d79,ACC8019,CUST86484,MASTERCARD,CREDIT,Branded Cards,2025-09-25T01:21:04.438179+05:30,255.24,INR,AquaFlow,Utilities,Hyderabad,IN,POS,contactless,APPROVED,,0,,255.24,13,0,,IN,17.391137,78.462974
txn_00006_ff01cf99,ACC8668,CUST79352,MASTERCARD,CREDIT,Branded Cards,2025-11-01T18:23:19.438179+05:30,75.00,INR,LocalStore,Other,Mumbai,IN,ECOM,online,APPROVED,,0,,75.00,55,0,dev_6162801c45,IN,,
txn_00007_4c66e0a8,ACC9317,CUST89818,VISA,CREDIT,Branded Cards,2025-11-16T08:57:59.438179+05:30,127.45,AED,LocalStore,Other,Chennai,AE,POS,contactless,APPROVED,,1,25.83,3292.20,29,0,,IN,,
txn_00008_bb5e4bcf,ACC8962,CUST19071,AMEX,CREDIT,Branded Cards,2025-08-22T09:57:08.438179+05:30,120.66,INR,CityServices,Other,Bangalore,IN,POS,contactless,DECLINED,INVALID_PIN,0,,120.66,8,0,,IN,12.978336,77.552476
txn_00009_702753a1,ACC9479,CUST69177,MASTERCARD,DEBIT,Branded Cards,2025-12-06T05:30:18.438179+05:30,171.95,INR,QuickServices,Other,Hyderabad,IN,POS,contactless,APPROVED,,0,,171.95,50,0,,IN,17.434515,78.501688
txn_00010_93829b43,ACC8744,CUST41850,MASTERCARD,CREDIT,Branded Cards,2025-09-05T23:42:37.438179+05:30,75.00,INR,PowerGrid,Utilities,Pune,IN,POS,chip_pin,DECLINED,INSUFFICIENT_FUNDS,0,,75.00,18,0,,IN,18.542735,73.894938
txn_00011_6c006f61,ACC4006,CUST46509,MASTERCARD,CREDIT,Branded Cards,2025-09-09T05:26:09.438179+05:30,75.00,INR,FuelPoint,Fuel,Kolkata,IN,POS,contactless,APPROVED,,0,,75.00,11,0,,IN,22.541621,88.358761
txn_00012_e7067ef4,ACC1960,CUST31579,VISA,DEBIT,Branded Cards,2025-09-30T14:27:09.438179+05:30,113.35,USD,QuickServices,Other,Bangalore,US,ECOM,online,APPROVED,,1,90.67,10277.97,60,0,dev_dd36b82481,IN,,
txn_00013_944528c0,ACC9883,CUST17989,RUPAY,DEBIT,Branded Cards,2025-10-17T12:26:59.438179+05:30,101.96,INR,FunZone,Entertainment,Kolkata,IN,ECOM,online,APPROVED,,0,,101.96,20,0,dev_f737bb3eec,IN,,
txn_00014_6b5252e3,ACC9565,CUST51467,VISA,DEBIT,Branded Cards,2025-10-31T07:05:39.438179+05:30,75.00,INR,CityServices,Other,Delhi,IN,POS,chip_pin,APPROVED,,0,,75.00,41,0,,IN,28.713552,77.114438
txn_00015_12c136e0,ACC9808,CUST37938,AMEX,CREDIT,Branded Cards,2025-08-29T04:52:31.438179+05:30,97.47,INR,Cafe Mosaic,Dining,Delhi,IN,ECOM,online,APPROVED,,0,,97.47,23,0,dev_90ff9ab5c2,IN,,
txn_00016_27cb6f2a,ACC5462,CUST46930,MASTERCARD,DEBIT,Branded Cards,2025-08-04T06:51:44.438179+05:30,148.48,INR,SpeedFuel,Fuel,Chennai,IN,POS,contactless,APPROVED,,0,,148.48,13,0,,IN,13.121671,80.294942
txn_00017_8f9797b0,ACC1158,CUST24663,AMEX,CREDIT,Branded Cards,2025-12-17T09:06:15.438179+05:30,159.02,INR,TasteHub,Dining,Ahmedabad,IN,POS,chip_pin,APPROVED,,0,,159.02,21,0,,IN,23.016684,72.591967
txn_00018_6808593f,ACC3532,CUST41029,VISA,DEBIT,Branded Cards,2025-11-25T08:05:05.438179+05:30,75.00,INR,QuickServices,Other,Kolkata,IN,POS,contactless,APPROVED,,0,,75.00,47,0,,IN,22.600612,88.402313
txn_00019_dbccc477,ACC8711,CUST39154,RUPAY,CREDIT,Branded Cards,2025-11-14T21:46:19.438179+05:30,243.82,INR,RailEase,Travel,Chennai,IN,ECOM,online,APPROVED,,0,,243.82,19,0,dev_df61ee411a,IN,,
txn_00020_1d870966,ACC5279,CUST33405,AMEX,DEBIT,Branded Cards,2025-08-10T04:51:56.438179+05:30,199.48,INR,ShopSphere,Ecomm,Bangalore,IN,ECOM,online,APPROVED,,0,,199.48,18,0,dev_f054c63cd8,IN,,
txn_00021_f0b5156b,ACC4228,CUST57739,VISA,CREDIT,Branded Cards,2025-09-17T11:59:00.438179+05:30,75.00,INR,HealthFirst,Pharmacy,Chennai,IN,POS,chip_pin,APPROVED,,0,,75.00,5,0,,IN,13.113351,80.289386
txn_00022_4d0b0d1a,ACC7653,CUST81819,AMEX,DEBIT,Branded Cards,2026-01-05T03:28:02.438179+05:30,99.96,INR,FuelPoint,Fuel,Hyderabad,IN,POS,contactless,APPROVED,,0,,99.96,29,0,,IN,17.425281,78.498251
txn_00023_d1843324,ACC4848,CUST98184,AMEX,CREDIT,Branded Cards,2025-10-18T06:21:07.438179+05:30,150.20,INR,WellnessRx,Pharmacy,Chennai,IN,POS,contactless,APPROVED,,0,,150.20,23,0,,IN,13.095994,80.254219
txn_00024_3e75c3b4,ACC3417,CUST95990,MASTERCARD,CREDIT,Branded Cards,2025-07-13T14:19:45.438179+05:30,75.00,INR,FreshBasket,Grocery,Pune,IN,ATM,atm_pin,APPROVED,,0,,75.00,41,0,,IN,18.540035,73.856138
txn_00025_9cd6c852,ACC9270,CUST65933,VISA,DEBIT,Branded Cards,2025-08-17T22:17:45.438179+05:30,121.19,INR,ShopSphere,Ecomm,Ahmedabad,IN,POS,chip_pin,APPROVED,,0,,121.19,40,0,,IN,23.067504,72.610543
